Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
19,"Yo x Ti, Tu x Mi",ROSALÍA,239162,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,2019-08-16,7BlBVFwvbWvcwNcUarQmjk,0.462,0.78,201040,0.759,0.000868,1,0.143,-3.292,1,0.225,91.952,4,0.579
47,Simplemente Gracias,Calibre 50,155414,https://open.spotify.com/track/3K6noLeoPTQJ5jUErC8jT5,2019-08-16,3K6noLeoPTQJ5jUErC8jT5,0.691,0.755,203200,0.557,0.0,3,0.104,-5.982,1,0.0302,130.03,4,0.743
48,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,135615,https://open.spotify.com/track/2S93hylQBYLndMnaJuso8S,2019-08-18,2S93hylQBYLndMnaJuso8S,0.00554,0.81,143292,0.471,0.000197,8,0.134,-5.047,1,0.0496,75.003,4,0.391
48,Chicharrón,Guaynaa,145502,https://open.spotify.com/track/5UVa8Qqb9L1dVxl3jKQ5J1,2019-08-19,5UVa8Qqb9L1dVxl3jKQ5J1,0.445,0.734,195867,0.789,9.06e-05,10,0.498,-4.305,0,0.454,76.182,4,0.811
48,Aunque no sea conmigo (feat. Café Tacvba),Celso Piña,152515,https://open.spotify.com/track/199gJ6b1aihvmEqdQZr0qT,2019-08-22,199gJ6b1aihvmEqdQZr0qT,0.44,0.81,213133,0.508,0.0,9,0.111,-9.062,1,0.0455,88.089,4,0.31
36,Lover,Taylor Swift,189038,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,2019-08-23,1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,221307,0.543,1.58e-05,7,0.118,-7.582,1,0.0919,68.534,4,0.453
38,Adicto (with Anuel AA & Ozuna),Tainy,187313,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,2019-08-23,3jbT1Y5MoPwEIpZndDDwVq,0.017,0.734,270741,0.836,1.64e-05,10,0.179,-4.803,0,0.0735,80.002,4,0.623
49,Si Se Da - Remix,Myke Towers,160040,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,2019-08-23,6K5BsR04ijf3FHNzjbaagD,0.441,0.817,332240,0.672,0.0,11,0.13,-5.612,0,0.299,93.999,4,0.774
50,Indeciso,Reik,150931,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,2019-08-30,59s0s39NFWScuHDbHytI14,0.182,0.738,217253,0.748,0.0,0,0.11,-4.902,1,0.0453,94.949,4,0.896
42,Circles,Post Malone,168067,https://open.spotify.com/track/0Yde1VrWbGF2Tus2AQhMuT,2019-09-06,0Yde1VrWbGF2Tus2AQhMuT,0.222,0.703,215280,0.756,0.00281,0,0.0829,-3.407,1,0.0376,119.999,4,0.536
45,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,161550,https://open.spotify.com/track/4VqTRBvYg0z8C4nsl4Hupy,2019-09-06,4VqTRBvYg0z8C4nsl4Hupy,0.533,0.755,157560,0.522,0.0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925
50,No Se Me Quita (feat. Ricky Martin),Maluma,155097,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR,2019-09-06,1GBLO0NFODuL31A5fgw0uR,0.146,0.864,219933,0.869,0.0,7,0.063,-2.963,1,0.139,99.988,4,0.853
46,Lalala,Y2K,164398,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-09-07,51Fjme0JiitpyXKuyQiCDo,0.181,0.843,160627,0.391,0.0,2,0.137,-7.899,1,0.0845,129.972,4,0.496
47,Circles,Post Malone,142748,https://open.spotify.com/track/51MMC5DogGZAnHil5HQAXg,2019-09-09,51MMC5DogGZAnHil5HQAXg,0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553
