Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
10,No Te Contaron Mal,Christian Nodal,223622,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019-01-02,1LO951RWD10l9Vys0NrFty,0.388,0.617,156947,0.57,0.0,9,0.143,-3.074,0,0.0374,163.2,4,0.632
11,Vaina Loca,Ozuna,217210,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,48zFZh27QU5qsrBjn4C2FA,0.315,0.754,176133,0.805,0.0,6,0.203,-4.249,1,0.0752,93.983,4,0.555
12,Ya No Tiene Novio,Sebastian Yatra,191222,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-02,7uQmJ1jgNzBpATSoWKSPFu,0.048,0.632,198933,0.832,0.0,7,0.0705,-1.948,0,0.154,182.184,4,0.784
13,"thank u, next",Ariana Grande,191205,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0.0,1,0.102,-5.642,1,0.0658,106.96,4,0.435
14,BEBE,6ix9ine,187802,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-02,4KkUjFkcQvGvWekl8RATDn,0.172,0.635,217822,0.902,0.0,0,0.125,-3.559,1,0.109,102.063,4,0.286
15,In My Mind,Dynoro,187666,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-02,0E9ZjEAyAwOXZ7wJC0PD33,0.176,0.694,184560,0.77,1.1e-05,6,0.118,-5.335,1,0.149,125.905,4,0.163
16,Cuando Te Besé,Becky G,184993,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-02,2XXMDz7SPZ4mSFN1PXfHUy,0.307,0.772,254383,0.732,5.14e-06,9,0.106,-3.713,0,0.213,100.048,4,0.295
17,Puntos Suspensivos,Piso 21,176272,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-02,04cd1MHVq1D8v1nuTZoCdv,0.175,0.823,186316,0.731,0.0,11,0.131,-3.399,0,0.103,152.024,4,0.952
18,Bohemian Rhapsody - Remastered 2011,Queen,167601,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-02,7tFiyTwD0nx5a1eklYtX2J,0.254,0.397,354320,0.396,0.0,3,0.268,-9.91,1,0.05,142.913,4,0.227
19,Adictiva,Daddy Yankee,164765,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-02,6MJUCumnQsQEKbCy28tbCP,0.291,0.788,207853,0.771,5.62e-05,4,0.172,-3.206,0,0.0563,99.038,4,0.701
20,Imposible,Luis Fonsi,163294,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-02,3ao3OVxHlb3C08vAaApUlm,0.122,0.786,163880,0.764,0.0,11,0.102,-2.935,1,0.0798,90.979,4,0.913
21,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,162757,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
